id,item,vowel,language,f1_cent,f2_cent,tl,f1_20,f1_35,f1_50,f1_65,f1_80,f2_20,f2_35,f2_50,f2_65,f2_80
jrm,meet,i,en,342.81,2211.38,4111.72,333.74,314.96,332.80,341.59,390.95,1882.13,2756.18,2723.88,1072.93,2621.75
jrm,beat,i,en,339.11,1674.02,2330.53,326.01,354.20,334.84,346.72,333.76,2390.94,1901.64,996.71,1149.41,1931.42
jrm,feet,i,en,354.53,1522.98,2830.88,382.08,383.41,375.76,345.02,286.40,1788.08,1658.00,2425.61,1248.08,495.14
jrm,seat,i,en,364.94,2087.18,1142.83,391.75,377.85,347.02,383.83,324.27,1368.94,2089.95,2372.41,2330.05,2274.54
jrm,heat,i,en,396.12,1218.76,2692.27,400.63,397.99,413.61,324.60,443.80,1074.97,1016.98,1092.50,484.97,2424.41
jrm,fleet,i,en,366.50,1868.71,834.66,355.23,323.69,420.02,361.09,372.46,2073.84,1628.81,1796.07,1873.73,1971.08
jrm,moos,a,en,803.49,1321.26,1958.14,1099.51,1005.46,1067.42,342.52,502.55,1172.52,1112.53,1655.46,1142.89,1522.89
jrm,bot,a,en,691.50,1363.20,499.11,586.81,675.37,678.05,772.11,745.14,1143.94,1305.21,1350.45,1439.29,1577.09
jrm,fought,a,en,629.74,1297.39,690.79,534.63,649.69,621.36,695.73,647.31,1154.07,1213.78,1121.42,1428.71,1568.98
jrm,sought,a,en,716.19,1311.09,290.09,701.39,740.09,727.84,710.79,700.85,1325.31,1323.03,1230.95,1289.71,1386.45
jrm,caught,a,en,783.12,1409.61,268.53,772.12,812.28,831.81,779.15,720.22,1512.26,1463.28,1394.83,1356.89,1320.79
jrm,brought,a,en,680.16,1442.21,448.04,470.29,689.27,719.76,758.42,763.08,1210.22,1445.75,1482.14,1526.80,1546.15
jrm,moot,u,en,346.85,962.63,427.72,349.42,345.08,346.10,345.46,348.21,798.30,826.18,904.41,1058.60,1225.65
jrm,boot,u,en,390.32,1119.70,182.74,395.89,408.55,398.76,402.73,345.68,1064.50,1115.52,1098.78,1145.65,1174.04
jrm,food,u,en,334.96,1071.99,627.57,390.41,422.84,362.02,361.68,137.83,1075.45,1137.05,1121.83,1192.94,832.67
jrm,soothe,u,en,399.47,965.56,300.87,368.99,401.61,412.30,414.08,400.38,1012.00,900.17,980.74,938.04,996.82
jrm,cooded,u,en,398.60,906.37,262.71,373.51,399.50,372.16,424.99,422.87,833.70,849.59,851.01,954.41,1043.13
jrm,dude,u,en,414.73,1358.66,492.50,379.32,413.92,399.85,442.61,437.93,1501.58,1452.96,1227.59,1223.58,1387.58
jrm,mis,i,sp,330.24,2296.28,538.20,325.50,328.56,327.23,334.81,335.10,1926.19,2346.95,2380.59,2376.32,2451.37
jrm,bis,i,sp,353.09,2142.55,1770.86,343.22,335.44,365.13,380.44,341.22,2410.27,2419.50,2243.87,2487.52,1151.58
jrm,pis,i,sp,431.63,2689.82,129.05,421.13,419.89,449.81,435.04,432.27,2670.80,2681.77,2729.43,2696.12,2670.98
jrm,cito,i,sp,1134.48,1942.53,1444.12,961.08,615.98,1109.14,1564.53,1421.66,1946.72,1906.33,1966.49,1939.12,1953.98
jrm,fito,i,sp,1227.12,1918.37,2684.96,1647.19,1694.88,330.82,1050.29,1412.42,2047.55,2205.54,1770.22,1814.82,1753.72
jrm,quito,i,sp,361.26,2616.86,421.14,371.67,378.59,374.06,349.23,332.73,2627.26,2619.27,2747.58,2621.46,2468.72
jrm,mas,a,sp,781.93,1440.39,944.80,290.91,683.93,949.81,1012.30,972.72,1148.56,1249.46,1590.61,1597.45,1615.85
jrm,vas,a,sp,850.91,1629.40,483.27,765.81,888.78,870.07,807.91,921.98,1500.86,1697.39,1632.11,1662.45,1654.19
jrm,pasa,a,sp,869.29,1663.94,171.55,818.91,799.04,907.30,908.88,912.33,1639.69,1661.93,1686.99,1662.84,1668.24
jrm,sala,a,sp,1037.19,1891.02,457.42,972.88,1031.03,1078.57,1154.57,948.90,1897.92,1912.05,1957.05,1858.55,1829.52
jrm,fama,a,sp,1107.48,1880.72,641.10,1071.92,1089.53,1101.63,1050.96,1223.38,1841.97,1959.01,2018.64,1751.78,1832.21
jrm,cama,a,sp,776.62,1653.23,627.99,598.79,729.60,814.66,864.04,876.03,1604.18,1443.77,1605.17,1815.85,1797.20
jrm,musa,u,sp,281.53,1444.24,1575.65,176.45,174.25,194.09,367.80,495.08,760.27,701.68,1916.13,1929.24,1913.87
jrm,bulto,u,sp,471.98,1415.32,4470.44,146.44,143.77,137.89,1722.44,209.37,747.77,902.47,1788.80,2278.77,1358.81
jrm,puso,u,sp,312.91,662.94,357.14,250.09,256.98,333.39,357.34,366.74,585.45,610.34,560.43,760.61,797.89
jrm,supo,u,sp,997.24,1724.69,2285.68,1235.55,1330.76,1607.14,404.18,408.57,2030.09,2018.61,2128.52,1487.82,958.43
jrm,fumo,u,sp,411.05,795.94,1572.37,486.03,428.10,419.81,382.37,338.93,1748.68,529.75,451.71,537.41,712.16
jrm,cura,u,sp,440.94,774.12,231.09,437.60,444.63,449.83,440.22,432.43,653.45,806.35,832.32,793.50,784.98
